Renters_percent,avgCommuteTime,medHouseIncome,medianSalePrice,neighborhood,url_OwnersvsRenters
,,,370000,Goose Island,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403298&regionType=8&service=chart
,,,0,Hanson Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403324&regionType=8&service=chart
,,,0,Old Norwood Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403277&regionType=8&service=chart
,,,395000,Lathrop Homes,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403296&regionType=8&service=chart
,,,0,Douglas Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403560&regionType=8&service=chart
,,,232000,Magnolia Glen,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403259&regionType=8&service=chart
,,,470000,Ranch Triangle,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403305&regionType=8&service=chart
,,,475000,Fulton River District,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403313&regionType=8&service=chart
,,,0,Vittum Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403333&regionType=8&service=chart
,,,375000,Wrigleyville,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403294&regionType=8&service=chart
,,,0,Ida B. Wells - Darrow Homes,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403349&regionType=8&service=chart
,,,0,Chinatown,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=137799&regionType=8&service=chart
,,,0,Pulaski Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403269&regionType=8&service=chart
0.2310792,39.85473973,44439.41441,0,Avalon Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269572&regionType=8&service=chart
,,,0,Graceland West,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403267&regionType=8&service=chart
